Date,Probable,Confirmed,Total
07/21/2020,5,110,115
07/22/2020,1,85,86
07/23/2020,3,142,145
07/24/2020,2,118,120
07/25/2020,0,51,51
07/26/2020,3,27,30
07/27/2020,2,119,121
07/28/2020,1,80,81
07/29/2020,7,92,99
07/30/2020,1,93,94
07/31/2020,2,66,68
08/01/2020,4,36,40
08/02/2020,1,30,31
08/03/2020,1,100,101
08/04/2020,3,79,82
08/05/2020,0,90,90
08/06/2020,3,103,106
08/07/2020,7,65,72
08/08/2020,2,38,40
08/09/2020,8,26,34
08/10/2020,4,81,85
08/11/2020,4,97,101
08/12/2020,5,81,86
08/13/2020,1,98,99
08/14/2020,4,80,84
08/15/2020,2,18,20
08/16/2020,0,7,7