NAME,Town,Trump_Votes,Rocky_Votes,Uncommitted_Votes,Trump_%,Rocky_%,Uncommitted_%
Darien,35,516,94,229,61.50,11.20,27.29
Bloomfield,11,193,36,80,62.46,11.65,25.89
Salisbury,122,62,9,26,63.92,9.28,26.80
East Granby,39,66,8,29,64.08,7.77,28.16
Cornwall,31,33,8,10,64.71,15.69,19.61
Hartford,64,117,22,41,65.00,12.22,22.78
West Haven,155,925,153,329,65.74,10.87,23.38
New Canaan,90,756,96,286,66.43,8.44,25.13
Glastonbury,54,856,151,263,67.40,11.89,20.71
Greenwich,57,1333,199,445,67.43,10.07,22.51
Canaan,21,27,5,8,67.50,12.50,20.00
Weston,157,226,29,79,67.66,8.68,23.65
Westport,158,619,75,216,68.02,8.24,23.74
Madison,76,618,98,186,68.51,10.86,20.62
Mansfield,78,168,31,46,68.57,12.65,18.78
Simsbury,128,608,83,192,68.86,9.40,21.74
Stonington,137,398,55,120,69.46,9.60,20.94
Essex,50,238,38,63,70.21,11.21,18.58
Lyme,75,102,14,29,70.34,9.66,20.00
East Windsor,45,466,67,128,70.50,10.14,19.36
Old Lyme,105,299,41,83,70.69,9.69,19.62
Chester,26,99,16,25,70.71,11.43,17.86
Fairfield,51,1146,153,315,71.00,9.48,19.52
Eastford,46,238,37,59,71.26,11.08,17.66
Sharon,125,67,11,16,71.28,11.70,17.02
Sherman,127,82,9,23,71.93,7.89,20.18
Wilton,161,718,73,205,72.09,7.33,20.58
Woodbridge,167,179,25,44,72.18,10.08,17.74
Guilford,60,496,70,120,72.30,10.20,17.49
Redding,117,321,31,91,72.46,7.00,20.54
Tolland,142,378,51,89,72.97,9.85,17.18
Groton,59,641,81,154,73.17,9.25,17.58
Old Saybrook,106,393,45,99,73.18,8.38,18.44
Avon,4,593,61,154,73.39,7.55,19.06
New Milford,95,144,16,36,73.47,8.16,18.37
Norfolk,98,34,7,5,73.91,15.22,10.87
Willington,160,118,16,25,74.21,10.06,15.72
Washington,150,76,9,17,74.51,8.82,16.67
Norwalk,103,998,126,215,74.53,9.41,16.06
Durham,38,255,29,58,74.56,8.48,16.96
Deep River,36,94,10,22,74.60,7.94,17.46
Southington,132,609,82,124,74.72,10.06,15.21
Ledyard,72,424,54,88,74.91,9.54,15.55
Manchester,77,935,96,217,74.92,7.69,17.39
Windsor,164,503,63,104,75.07,9.40,15.52
Kent,68,87,6,22,75.65,5.22,19.13
Ridgefield,118,914,89,205,75.66,7.37,16.97
Killingworth,70,251,16,64,75.83,4.83,19.34
Canton,23,337,34,73,75.90,7.66,16.44
Morris,87,82,9,17,75.93,8.33,15.74
New Haven,93,291,32,60,75.98,8.36,15.67
Cheshire,25,748,78,157,76.09,7.93,15.97
Farmington,52,717,66,159,76.11,7.01,16.88
Rocky Hill,119,355,42,68,76.34,9.03,14.62
West Hartford,154,253,31,47,76.44,9.37,14.20
Granby,56,467,51,92,76.56,8.36,15.08
Stamford,135,2044,200,404,77.19,7.55,15.26
Columbia,30,166,18,31,77.21,8.37,14.42
Colchester,28,454,55,77,77.47,9.39,13.14
Brookfield,18,528,50,102,77.65,7.35,15.00
Hebron,67,294,33,51,77.78,8.73,13.49
Roxbury,120,112,12,20,77.78,8.33,13.89
Litchfield,74,281,29,50,78.06,8.06,13.89
Southbury,131,1970,154,388,78.42,6.13,15.45
Wethersfield,159,655,63,117,78.44,7.54,14.01
North Canaan,100,73,7,13,78.49,7.53,13.98
Bridgeport,15,455,52,72,78.58,8.98,12.44
Newtown,97,911,92,156,78.60,7.94,13.46
Pomfret,112,114,11,20,78.62,7.59,13.79
Cromwell,33,335,38,53,78.64,8.92,12.44
Woodstock,169,291,36,43,78.65,9.73,11.62
Andover,1,111,13,17,78.72,9.22,12.06
Orange,107,405,38,71,78.79,7.39,13.81
New Hartford,92,274,24,48,79.19,6.94,13.87
Vernon,146,595,55,101,79.23,7.32,13.45
South Windsor,130,835,62,156,79.30,5.89,14.81
East Haven,43,426,45,66,79.33,8.38,12.29
Griswold,58,269,22,48,79.35,6.49,14.16
Coventry,32,354,34,58,79.37,7.62,13.00
Hampton,63,50,6,7,79.37,9.52,11.11
Easton,47,259,25,42,79.45,7.67,12.88
Colebrook,29,66,4,13,79.52,4.82,15.66
Monroe,85,400,41,62,79.52,8.15,12.33
Bridgewater,16,70,5,13,79.55,5.68,14.77
Bolton,12,211,18,36,79.62,6.79,13.58
Windham,163,208,19,34,79.69,7.28,13.03
Middlebury,81,310,23,56,79.69,5.91,14.40
Somers,129,344,28,59,79.81,6.50,13.69
East Hartford,42,305,30,47,79.84,7.85,12.30
Trumbull,144,864,80,138,79.85,7.39,12.75
Danbury,34,1096,100,176,79.88,7.29,12.83
Portland,113,276,18,51,80.00,5.22,14.78
Waterford,152,483,45,75,80.10,7.46,12.44
Ashford,3,145,15,21,80.11,8.29,11.60
Suffield,139,403,20,80,80.12,3.98,15.90
Clinton,27,464,49,66,80.14,8.46,11.40
Middletown,83,656,68,94,80.20,8.31,11.49
Bethany,8,199,18,31,80.24,7.26,12.50
Middlefield,82,224,18,37,80.29,6.45,13.26
Stratford,138,872,93,121,80.29,8.56,11.14
Branford,14,595,45,101,80.30,6.07,13.63
Bozrah,13,78,3,16,80.41,3.09,16.49
Marlborough,79,197,18,30,80.41,7.35,12.24
Windsor Locks,165,284,32,37,80.45,9.07,10.48
Lisbon,73,136,15,18,80.47,8.88,10.65
Woodbury,168,408,23,75,80.63,4.55,14.82
Lebanon,71,259,28,34,80.69,8.72,10.59
Burlington,20,320,31,45,80.81,7.83,11.36
Hamden,62,845,85,115,80.86,8.13,11.00
Preston,114,149,11,24,80.98,5.98,13.04
Salem,121,133,11,20,81.10,6.71,12.20
Union,145,56,5,8,81.16,7.25,11.59
East Haddam,40,166,15,23,81.37,7.35,11.27
Warren,149,70,6,10,81.40,6.98,11.63
Milford,84,1171,106,161,81.43,7.37,11.20
Wallingford,148,905,99,107,81.46,8.91,9.63
North Stonington,102,168,13,25,81.55,6.31,12.14
Bethlehem,10,137,14,17,81.55,8.33,10.12
Norwich,104,479,47,61,81.60,8.01,10.39
Ellington,48,540,53,66,81.94,8.04,10.02
Enfield,49,984,69,146,82.07,5.75,12.18
Torrington,143,772,57,107,82.48,6.09,11.43
Haddam,61,364,32,45,82.54,7.26,10.20
Brooklyn,19,229,9,38,82.97,3.26,13.77
Barkhamsted,5,157,11,21,83.07,5.82,11.11
Newington,96,631,47,81,83.14,6.19,10.67
Bristol,17,1282,88,171,83.19,5.71,11.10
Montville,86,553,36,75,83.28,5.42,11.30
New Britain,89,629,34,89,83.64,4.52,11.84
Scotland,123,42,1,7,84.00,2.00,14.00
North Haven,101,720,56,79,84.21,6.55,9.24
Beacon Falls,6,191,11,24,84.51,4.87,10.62
Westbrook,156,493,43,46,84.71,7.39,7.90
Chaplin,24,95,6,11,84.82,5.36,9.82
North Branford,99,358,26,38,84.83,6.16,9.00
Berlin,7,1100,66,130,84.88,5.09,10.03
Oxford,108,531,40,54,84.96,6.40,8.64
Harwinton,66,227,8,32,85.02,3.00,11.99
Thomaston,140,242,18,24,85.21,6.34,8.45
Plainville,110,399,21,48,85.26,4.49,10.26
East Hampton,41,395,30,38,85.31,6.48,8.21
Killingly,69,304,20,32,85.39,5.62,8.99
Thompson,141,244,11,29,85.92,3.87,10.21
Bethel,9,763,32,92,86.02,3.61,10.37
Canterbury,22,199,14,18,86.15,6.06,7.79
Putnam,116,172,11,16,86.43,5.53,8.04
Seymour,124,486,27,49,86.48,4.80,8.72
Sprague,133,90,8,6,86.54,7.69,5.77
Shelton,126,1622,93,158,86.60,4.97,8.44
Derby,37,212,14,18,86.89,5.74,7.38
Waterbury,151,875,39,92,86.98,3.88,9.15
Naugatuck,88,666,31,68,87.06,4.05,8.89
Meriden,80,679,34,66,87.16,4.36,8.47
Plainfield,109,326,16,31,87.40,4.29,8.31
Goshen,55,160,8,15,87.43,4.37,8.20
New Fairfield,91,496,28,43,87.48,4.94,7.58
Plymouth,111,301,20,23,87.50,5.81,6.69
Prospect,115,343,20,28,87.72,5.12,7.16
Stafford,134,294,18,23,87.76,5.37,6.87
Franklin,53,65,4,5,87.84,5.41,6.76
Watertown,153,773,41,64,88.04,4.67,7.29
Ansonia,2,286,17,20,88.54,5.26,6.19
Winchester,162,292,15,22,88.75,4.56,6.69
East Lyme,44,524,21,44,88.96,3.57,7.47
Sterling,136,105,6,6,89.74,5.13,5.13
Wolcott,166,454,12,32,91.16,2.41,6.43
New London,94,403,14,19,92.43,3.21,4.36
Voluntown,147,160,5,5,94.12,2.94,2.94
Hartland,65,130,1,4,96.30,0.74,2.96
