State,positivity_rate,isolate
Idaho,16,yes
Mississippi,18,yes
Nevada,16,yes
Florida,17,yes
Alabama,12,yes
Texas,16,yes
Iowa,10,yes
Arkansas,9,yes
Arizona,11,yes
North Dakota,9,yes
Utah,9,yes
Indiana,9,yes
Georgia,11,yes
Nebraska,9,yes
South Dakota,9,yes
Tennessee,8,yes
Oklahoma,9,yes
Hawaii,8,yes
Kansas,12,yes
Minnesota,7,yes
South Carolina,10,yes
Missouri,11,yes
Wyoming,10
Kentucky,7,yes
Wisconsin,7,yes
Montana,6,yes
Louisiana,6,yes
North Carolina,6,yes
Virginia,7,yes
Pennsylvania,5
Maryland,5,yes
California,6,yes
Illinois,4,yes
Oregon,6,no
Delaware,6,yes
Colorado,3,no
Ohio,5,no
West Virginia,3,no
Michigan,3,no
Rhode Island,2,no
DC,2,
New Hampshire,2,no
New Mexico,2,no
Massachusetts,2,no
Alaska,2,yes
New Jersey,1,no
Maine,1,no
Vermont,1,no
Connecticut,1,no
New York,1,no
Puerto Rico,,yes
Virgin Islands,yes