,Town,Democratic,Republican,Unaffiliated,Reg_Voters,ABs Processed for Registered Democrats,ABs Processed for Registered Republicans,ABs Processed for Registered Unaffiliated Voters,Total ABs Processed
0,Andover,,663.0,878.0,1583,0,0,0,0
1,Ansonia,3574.0,1800.0,4634.0,10176,726,153,523,1423
2,Ashford,991.0,688.0,1155.0,2875,273,67,158,503
3,Avon,4395.0,3870.0,5338.0,13777,1852,773,1259,3927
4,Barkhamsted,731.0,890.0,1235.0,2907,193,102,155,457
5,Beacon Falls,1108.0,1175.0,1931.0,4289,249,116,221,593
6,Berlin,4897.0,3936.0,5969.0,14966,1330,449,767,2571
7,Bethany,1226.0,1157.0,1660.0,4097,362,90,214,673
8,Bethel,3848.0,3258.0,5507.0,12821,1147,433,875,2492
9,Bethlehem,700.0,932.0,1155.0,2836,192,76,135,409
10,Bloomfield,9350.0,1279.0,4387.0,15194,2163,247,607,3049
11,Bolton,1108.0,979.0,1435.0,3591,332,104,191,636
12,Bozrah,607.0,424.0,815.0,1902,0,0,0,0
13,Branford,7547.0,3903.0,9844.0,21608,2633,596,1889,5163
14,Bridgeport,48448.0,4817.0,22027.0,75936,3596,333,1049,5018
15,Bridgewater,448.0,420.0,484.0,1373,111,67,66,246
16,Bristol,12741.0,7806.0,15003.0,36222,3166,859,2016,6131
17,Brookfield,3114.0,3942.0,5342.0,12640,866,470,775,2142
18,Brooklyn,1318.0,1317.0,2288.0,5031,361,127,312,807
19,Burlington,1773.0,1880.0,2524.0,6295,564,226,450,1265
20,Canaan,313.0,154.0,265.0,736,1,0,0,1
21,Canterbury,818.0,1119.0,1613.0,3617,148,65,138,358
22,Canton,2512.0,2174.0,2916.0,7732,1016,403,665,2106
23,Chaplin,446.0,494.0,580.0,1546,92,31,52,177
24,Cheshire,5922.0,4994.0,8906.0,20140,2298,876,1994,5234
25,Chester,1151.0,573.0,1088.0,2852,487,132,245,874
26,Clinton,3053.0,2602.0,4369.0,10238,978,356,717,2096
27,Colchester,3307.0,2617.0,4573.0,10718,1087,303,751,2171
28,Colebrook,286.0,331.0,445.0,1081,49,21,34,105
29,Columbia,1276.0,1033.0,1581.0,4022,336,79,181,617
30,Cornwall,565.0,193.0,363.0,1134,11,2,7,20
31,Coventry,2607.0,2192.0,4058.0,9010,381,98,263,753
32,Cromwell,3485.0,2375.0,4498.0,10564,936,317,667,1956
33,Danbury,14534.0,8733.0,19758.0,43793,3372,1158,2572,7234
34,Darien,3679.0,5543.0,5390.0,14795,831,729,764,2346
35,Deep River,1173.0,683.0,1411.0,3324,312,76,223,618
36,Derby,2534.0,1210.0,2962.0,6818,261,48,149,465
37,Durham,1420.0,1582.0,2260.0,5342,367,156,327,863
38,Eastford,318.0,449.0,477.0,1263,0,0,0,0
39,East Granby,1115.0,986.0,1650.0,3843,242,114,196,566
40,East Haddam,2024.0,1758.0,2967.0,6890,544,150,396,1105
41,East Hampton,2650.0,2158.0,3987.0,8952,395,86,307,800
42,East Hartford,14012.0,3011.0,13234.0,30536,2510,360,1209,4109
43,East Haven,6152.0,3868.0,8266.0,18613,1181,352,848,2406
44,East Lyme,4479.0,3087.0,5683.0,13416,1232,386,907,2545
45,Easton,1637.0,1687.0,2222.0,5624,220,104,190,518
46,East Windsor,2547.0,1829.0,4032.0,8557,92,28,74,197
47,Ellington,2717.0,2967.0,5000.0,10900,743,303,829,1903
48,Enfield,8293.0,5747.0,10737.0,25455,1288,304,825,2474
49,Essex,2033.0,1439.0,1976.0,5520,845,309,437,1607
50,Fairfield,13945.0,10512.0,16175.0,41325,4725,1796,3320,9976
51,Farmington,6655.0,4745.0,8364.0,20061,2374,841,1722,5005
52,Franklin,374.0,393.0,594.0,1389,0,0,0,0
53,Glastonbury,8489.0,6165.0,9923.0,24943,3185,1093,2269,6616
54,Goshen,582.0,885.0,799.0,2310,161,87,91,342
55,Granby,2413.0,2519.0,3050.0,8119,800,360,549,1742
56,Greenwich,12054.0,12409.0,15321.0,40544,2082,1083,1515,4758
57,Griswold,2316.0,1890.0,3419.0,7790,491,145,327,977
58,Groton,6905.0,4095.0,9124.0,20476,1106,290,742,2176
59,Guilford,6248.0,3499.0,6381.0,16360,2491,612,1467,4616
60,Haddam,1828.0,1628.0,2794.0,6327,535,153,302,998
61,Hamden,18500.0,4058.0,11988.0,35066,5044,596,2069,7783
62,Hampton,407.0,340.0,548.0,1324,4,0,1,5
63,Hartford,40364.0,2415.0,18664.0,61876,772,45,169,997
64,Hartland,326.0,599.0,529.0,1484,68,37,55,164
65,Harwinton,973.0,1432.0,1774.0,4252,291,136,258,698
66,Hebron,2180.0,1896.0,3340.0,7518,678,245,548,1490
67,Kent,927.0,432.0,675.0,2061,179,35,57,273
68,Killingly,2685.0,2477.0,5734.0,11150,100,32,123,261
69,Killingworth,1375.0,1419.0,2063.0,4930,476,159,356,996
70,Lebanon,1321.0,1449.0,2127.0,4984,289,134,256,685
71,Ledyard,2729.0,2546.0,4052.0,9645,11,12,9,33
72,Lisbon,832.0,702.0,1233.0,2818,209,82,155,451
73,Litchfield,1859.0,1905.0,2118.0,6000,524,208,313,1059
74,Lyme,735.0,505.0,705.0,1974,304,83,162,556
75,Madison,4397.0,3808.0,5367.0,13791,1856,834,1376,4113
76,Manchester,13749.0,5397.0,13433.0,33263,3422,762,1863,6148
77,Mansfield,4312.0,1191.0,4297.0,9967,1284,170,544,2020
78,Marlborough,1402.0,1229.0,1837.0,4572,474,169,328,987
79,Meriden,10855.0,4780.0,14791.0,30873,2806,646,2346,5858
80,Middlebury,1371.0,2359.0,2138.0,5954,366,253,301,928
81,Middlefield,1012.0,769.0,1597.0,3430,271,73,186,537
82,Middletown,13367.0,4503.0,10797.0,29210,1872,328,875,3129
83,Milford,11738.0,8640.0,17560.0,38730,3489,1176,2946,7743
84,Monroe,3141.0,3734.0,6537.0,13620,422,246,465,1144
85,Montville,3097.0,2350.0,5170.0,10783,756,224,657,1662
86,Morris,400.0,695.0,650.0,1782,0,0,0,0
87,Naugatuck,6176.0,4444.0,9228.0,20167,1272,405,1088,2797
88,New Britain,14920.0,3735.0,13533.0,32725,2546,411,996,4008
89,New Canaan,3626.0,5713.0,4733.0,14268,689,578,554,1845
90,New Fairfield,2425.0,3154.0,4514.0,10319,194,106,138,446
91,New Hartford,1354.0,1630.0,2007.0,5132,379,162,257,816
92,New Haven,39835.0,2616.0,16524.0,59649,875,33,180,1101
93,Newington,7964.0,3950.0,8201.0,20481,2317,542,1364,4282
94,New London,7781.0,1497.0,6697.0,16196,842,104,406,1371
95,New Milford,5001.0,4976.0,7776.0,18090,1397,574,1066,3085
96,Newtown,5598.0,5508.0,7292.0,18836,1822,741,1286,3923
97,Norfolk,472.0,236.0,435.0,1151,114,25,64,205
98,North Branford,2357.0,2480.0,4984.0,9958,761,273,757,1810
99,North Canaan,611.0,636.0,1066.0,2355,0,0,0,0
100,North Haven,4735.0,4585.0,8216.0,17794,833,341,675,1872
101,North Stonington,1090.0,1258.0,2012.0,4424,239,117,206,568
102,Norwalk,22830.0,10025.0,23806.0,57852,5858,1460,3700,11247
103,Norwich,7082.0,3154.0,8637.0,19317,2140,446,1363,4027
104,Old Lyme,1873.0,1679.0,2261.0,5903,661,289,501,1472
105,Old Saybrook,2723.0,2586.0,3559.0,9040,1036,455,746,2280
106,Orange,2883.0,2640.0,4874.0,10562,1037,459,1084,2609
107,Oxford,1795.0,3274.0,4170.0,9441,432,283,485,1224
108,Plainfield,2893.0,2254.0,4467.0,9812,559,152,416,1149
109,Plainville,3822.0,2656.0,5471.0,12140,815,225,556,1618
110,Plymouth,1949.0,2234.0,4236.0,8547,436,182,472,1101
111,Pomfret,913.0,725.0,1169.0,2857,208,80,156,451
112,Portland,2249.0,1604.0,2635.0,6589,816,245,509,1591
113,Preston,835.0,945.0,1365.0,3220,153,69,121,354
114,Prospect,1398.0,2321.0,2932.0,6760,196,112,181,500
115,Putnam,1739.0,1183.0,3003.0,6056,252,60,192,513
116,Redding,2537.0,1853.0,2431.0,6952,820,291,456,1605
117,Ridgefield,6467.0,5725.0,6877.0,19366,2459,1022,1583,5113
118,Rocky Hill,4629.0,2719.0,5343.0,12841,1239,349,829,2435
119,Roxbury,613.0,499.0,666.0,1802,169,61,82,315
120,Salem,866.0,719.0,1272.0,2903,240,91,169,505
121,Salisbury,1452.0,468.0,940.0,2912,479,86,159,732
122,Scotland,325.0,309.0,583.0,1239,41,19,32,92
123,Seymour,2667.0,2856.0,5751.0,11396,577,267,697,1557
124,Sharon,731.0,428.0,571.0,1739,253,63,106,424
125,Shelton,6679.0,8310.0,12522.0,27868,1808,1124,2161,5154
126,Sherman,773.0,788.0,1137.0,2753,235,99,158,502
127,Simsbury,6387.0,5001.0,7156.0,18865,2585,1031,1716,5403
128,Somers,1374.0,2095.0,2745.0,6326,207,109,213,542
129,Southbury,4055.0,5120.0,6245.0,15683,1647,880,1341,3927
130,Southington,8572.0,8042.0,13458.0,30716,2623,998,2290,6014
131,South Windsor,6156.0,3625.0,7042.0,17090,1969,557,1272,3854
132,Sprague,595.0,444.0,840.0,1918,110,28,60,199
133,Stafford,2263.0,1793.0,3110.0,7322,575,156,315,1064
134,Stamford,30556.0,13362.0,26727.0,72211,5165,1295,2512,9159
135,Sterling,457.0,650.0,1436.0,2605,103,39,91,236
136,Stonington,4982.0,2821.0,6213.0,14244,1804,482,1239,3580
137,Stratford,13714.0,6615.0,16296.0,37112,50,8,35,94
138,Suffield,2600.0,2766.0,4012.0,9691,808,356,756,1975
139,Thomaston,1119.0,1577.0,2222.0,5003,301,174,290,773
140,Thompson,1674.0,1466.0,3311.0,6581,238,69,184,502
141,Tolland,2956.0,2604.0,4946.0,10707,970,349,895,2253
142,Torrington,6213.0,5566.0,9400.0,21585,1559,641,1177,3421
143,Trumbull,7728.0,6635.0,12261.0,26940,462,149,393,1022
144,Union,147.0,229.0,267.0,659,32,19,20,73
145,Vernon,5974.0,3486.0,8156.0,18002,339,68,246,663
146,Voluntown,424.0,532.0,735.0,1730,85,27,58,173
147,Wallingford,8077.0,6140.0,14030.0,28748,2234,670,2246,5224
148,Warren,294.0,357.0,420.0,1082,64,35,42,141
149,Washington,964.0,679.0,919.0,2617,0,0,0,0
150,Waterbury,23523.0,7195.0,22947.0,54652,3960,831,2139,7032
151,Waterford,4584.0,2998.0,6150.0,13940,1533,438,1138,3144
152,Watertown,3348.0,4582.0,6508.0,14710,760,398,645,1836
153,Westbrook,1315.0,1393.0,2088.0,4890,0,2,1,3
154,West Hartford,20297.0,6333.0,14180.0,41468,8351,1489,3584,13588
155,West Haven,15523.0,3487.0,9437.0,28801,3386,413,1315,5152
156,Weston,2866.0,1656.0,2748.0,7370,980,338,615,1958
157,Westport,8497.0,4169.0,7105.0,19945,3274,913,1585,5809
158,Wethersfield,7452.0,3835.0,7294.0,18849,2492,592,1364,4497
159,Willington,1117.0,866.0,1550.0,3595,40,14,31,87
160,Wilton,4310.0,3746.0,4910.0,13112,1308,594,882,2803
161,Winchester,1707.0,1696.0,2854.0,6376,224,83,184,497
162,Windham,4623.0,1602.0,5226.0,11634,625,121,325,1094
163,Windsor,10612.0,2831.0,7877.0,21605,2709,419,1129,4310
164,Windsor Locks,2675.0,1730.0,4049.0,8652,727,207,545,1502
165,Wolcott,2829.0,3539.0,5754.0,12389,360,162,374,907
166,Woodbridge,2610.0,1283.0,2575.0,6558,1082,244,587,1926
167,Woodbury,2148.0,2610.0,3013.0,7975,523,221,335,1111
168,Woodstock,1596.0,1761.0,2380.0,5884,415,167,314,912
