Town,%_D_Applied,%_R_Applied,%_D_Voted,%_R_Voted,%_Applied,%_Voted
Andover,34.10958904109589,16.838995568685377,23.835616438356166,0.09315068493150686,23.145780051150894,14.02387041773231
Ansonia,28.07456872565387,13.208585580627409,21.035058430717864,0.0447968836950473,20.219374878664336,13.841972432537371
Ashford,41.35864135864136,15.561959654178674,32.16783216783217,0.07192807192807193,27.104087942287872,19.34043284094813
Avon,54.529067147363676,28.810936290946607,42.000901306894995,0.1694456962595764,39.88622452653561,28.2350399654353
Barkhamsted,42.198100407055634,21.023359288097886,31.34328358208955,0.17639077340569878,28.23931623931624,19.692307692307693
Beacon Falls,34.732142857142854,16.32996632996633,27.053571428571427,0.13125,22.68017499424361,16.25604420907207
Berlin,40.70993914807302,19.258885807915302,30.081135902636916,0.09350912778904666,28.568591101694917,18.968485169491526
Bethany,43.27628361858191,16.003460207612456,30.969845150774248,0.097799511002445,26.697493307374057,18.349963494767582
Bethel,44.133504492939664,21.711327649208283,34.53145057766367,0.12297817715019256,30.683220234423196,22.131400370141886
Bethlehem,38.80171184022824,15.688367129135539,28.958630527817405,0.11982881597717546,23.24438202247191,15.589887640449438
Bloomfield,42.66821836648328,36.89469638739431,32.77613203554803,0.03776978417266187,38.855284552845525,28.63089430894309
Bolton,42.016057091882246,17.160367722165475,33.719892952720784,0.08385370205173952,26.681367144432194,18.10915104740904
Bozrah,29.86798679867987,11.655011655011656,22.607260726072607,0.057755775577557754,19.70649895178197,14.150943396226415
Branford,47.140221402214024,23.569620253164558,38.00738007380074,0.08684765419082763,34.55771082679873,26.344751685238684
Bridgeport,19.75356653089629,16.241583350336665,8.252655709519619,0.006918148883476268,17.611769747178975,7.000298658633183
Bridgewater,37.723214285714285,21.88235294117647,31.026785714285715,0.15848214285714285,28.72570194384449,22.24622030237581
Bristol,38.110419906687405,17.857142857142858,29.712286158631414,0.07877138413685848,27.085262871152274,19.948242985562516
Brookfield,44.32106598984772,22.440251572327043,34.6763959390863,0.18623096446700507,29.738178976162562,20.578350918327473
Brooklyn,36.97604790419162,13.805970149253731,29.11676646706587,0.08907185628742514,22.91015625,16.5625
Burlington,48.41578654808227,21.350078492935637,36.40911617565314,0.15008337965536409,33.161993769470406,22.80373831775701
Canaan,42.40506329113924,21.29032258064516,33.860759493670884,0.08227848101265822,30.32345013477089,23.8544474393531
Canterbury,32.5609756097561,12.056737588652481,23.902439024390244,0.11097560975609756,18.67981374965763,12.845795672418516
Canton,53.29909126827341,26.481312670920694,39.78664559462663,0.1485578822599763,37.89392774788624,26.454009736100435
Chaplin,29.711751662971174,10.179640718562874,24.83370288248337,0.07538802660753881,17.58312020460358,12.915601023017903
Cheshire,50.55239370605959,25.566150178784266,41.01104787412119,0.15065282892534315,36.39976449808655,26.85212442351094
Chester,52.910512597741096,32.06239168110918,45.004344048653344,0.1155516941789748,41.765114662960386,32.55733148019458
Clinton,45.25974025974026,21.695951107715814,35.77922077922078,0.1331168831168831,31.11498595369563,23.123123123123122
Colchester,46.78047319556754,19.35361216730038,37.40640910452231,0.10242587601078167,31.86111111111111,23.324074074074073
Colebrook,32.98245614035088,12.612612612612613,24.210526315789473,0.07368421052631578,20.477502295684115,13.039485766758494
Columbia,46.13583138173302,16.650625601539943,36.0655737704918,0.08743169398907104,29.84964259304905,21.12398323884644
Cornwall,43.80453752181501,18.04123711340206,33.1588132635253,0.04537521815008726,34.612031386224935,25.632083696599825
Coventry,43.70483073411944,17.353874037154508,32.71205781666033,0.09623430962343096,28.712871287128714,20.055005500550056
Cromwell,40.74285714285714,21.541666666666668,31.885714285714286,0.11028571428571429,29.351087771942986,21.933608402100525
Danbury,34.354739643758954,20.7361268403171,25.271275506722173,0.08250870128983825,26.067766687037413,17.822140739231795
Darien,50.25530771298038,32.84172661870504,34.82934694974469,0.2932007524858909,39.01007271029284,23.907677940097393
Deep River,41.09704641350211,17.46031746031746,31.39240506329114,0.06666666666666667,28.88097358266548,20.896408429801127
Derby,33.450429352068696,16.100323624595468,24.395003903200625,0.04839968774395004,24.18658220558595,16.282752663403397
Durham,44.936708860759495,18.683385579937305,35.09142053445851,0.13220815752461323,29.02986458913003,20.40437766648117
Eastford,31.974921630094045,11.11111111111111,25.078369905956112,0.10658307210031348,17.62391817466562,12.273800157356412
East Granby,34.98201438848921,17.15438950554995,26.798561151079138,0.09172661870503597,23.78238341968912,16.191709844559586
East Haddam,40.48204623708805,15.997738835500282,31.972454500737825,0.08657156910969012,26.208285385500574,18.771576524741082
East Hampton,45.341848234410215,20.337437300501595,35.91284748309542,0.10969196093163035,31.150793650793652,22.34347442680776
East Hartford,27.482482836718805,17.84313725490196,19.930639111048198,0.02512562814070352,21.608219355675114,14.669086666234524
East Haven,31.757301920284007,16.299897645854657,24.221397450379214,0.07455220267871551,23.17462004463811,16.680837496014455
East Lyme,50.70827799911465,26.649583600256246,40.43824701195219,0.13678618857901725,38.49893201738234,29.06385799513884
Easton,45.570388349514566,22.899408284023668,30.764563106796118,0.1383495145631068,32.06847864454642,20.225908930462406
East Windsor,37.294761532447225,19.168466522678187,27.48240813135262,0.0985144644253323,25.770925110132158,17.980523997217713
Ellington,42.633684976355035,19.88674217188541,32.63004728992361,0.13568570389232448,30.048904184024632,20.82955986234378
Enfield,43.35639312977099,19.521432260285764,33.31345419847328,0.0892175572519084,30.26203581672998,21.385378711528027
Essex,52.73704789833822,29.759450171821307,43.59726295210166,0.14222873900293256,39.37600860677784,29.998206921283845
Fairfield,47.31113956466069,26.309309593711525,34.158486271162324,0.12085645184236733,35.91983679347174,23.494539781591264
Farmington,47.15883668903803,25.518976724680225,37.345264727815064,0.12229679343773303,35.2059739874388,25.394391968745364
Franklin,27.733333333333334,16.120906801007557,20.533333333333335,0.112,20.82444918265814,13.717128642501777
Glastonbury,50.8642840457837,27.57512453800418,39.8621817332399,0.1324456902592852,38.55364364443739,27.690111807152487
Goshen,39.358108108108105,15.358744394618833,30.236486486486488,0.16554054054054054,22.931847406772395,17.059579939991426
Granby,47.95584627964023,23.276880661677826,36.91741618969746,0.15412919051512675,33.92596200681929,23.59961032635168
Greenwich,48.98026046359243,31.119104716227017,35.219919731345726,0.20370218691129494,38.26641048714644,25.305834569642727
Griswold,32.22748815165877,13.219284603421462,24.127531236535976,0.07109004739336493,20.688341376682754,14.376428752857505
Groton,43.788332620168305,24.57115245228316,33.03380402225075,0.09641991156753672,31.870403307215305,22.68422823631207
Guilford,50.82644628099174,24.588769143505388,41.56071201525747,0.10076287349014622,37.902884440950594,29.4612081997944
Haddam,40.490463215258856,16.443361753958587,32.20708446866485,0.1008174386920981,25.027442371020857,18.47263603575349
Hamden,38.03854572633602,21.352140077821012,29.352410442581817,0.03229939672201164,32.06164729661445,23.555667845713323
Hampton,39.705882352941174,12.82798833819242,26.96078431372549,0.061274509803921566,24.51127819548872,15.714285714285714
Hartford,20.617338650125536,16.734527687296417,13.191059912371388,0.005784472997587752,17.72265343682484,10.743378410818597
Hartland,34.146341463414636,11.754966887417218,25.609756097560975,0.15853658536585366,19.12751677852349,13.221476510067115
Harwinton,40.24640657084189,14.809688581314878,27.926078028747433,0.12422997946611909,24.642438452520516,15.005861664712778
Hebron,45.350435180943656,20.441408302679978,34.40219880897847,0.10856619331195602,30.930970642687118,20.97328749008199
Kent,40.899357601713064,21.136363636363637,32.01284796573876,0.061027837259100645,30.95693779904306,22.77511961722488
Killingly,34.43169196593854,12.60835303388495,27.989633469085526,0.08034061458718993,20.733215547703182,15.097173144876326
Killingworth,50.541516245487365,18.798043326345212,40.7942238267148,0.13501805054151625,32.28978526991772,23.861127834637767
Lebanon,34.89073097211756,16.290212183436,28.25923134890731,0.1145440844009043,23.59371894255615,16.756112104949313
Ledyard,45.30627038782168,21.07710189848896,34.68648060891628,0.12577020659659296,30.39265680775115,21.121876593574708
Lisbon,32.53301320528211,13.966480446927374,25.09003601440576,0.08283313325330131,21.781830936513504,14.907050157839354
Litchfield,41.54666666666667,19.146722164412072,33.54666666666667,0.13973333333333332,28.401585204755616,21.07001321003963
Lyme,53.605442176870746,26.8389662027833,43.673469387755105,0.12244897959183673,39.5738203957382,30.39066463723998
Madison,55.26196928635953,30.931321540062434,44.78319783197832,0.18812104787714543,41.65117941386705,30.986418870621872
Manchester,41.78003723328082,23.989760468092886,31.691250179006158,0.06293856508663898,32.41948363055629,23.16860379144116
Mansfield,44.088499654298225,22.814321398834306,35.192440654528696,0.045171698548052544,31.20674089678002,23.83388504363527
Marlborough,46.486870120652945,20.471161657189278,36.97657913413769,0.1312987934705465,31.290743155149936,22.77270751847023
Meriden,34.247570611206974,19.177800616649538,27.4180365089456,0.06384524566342749,26.082805588263373,19.91853101231582
Middlebury,39.30635838150289,17.642105263157895,31.213872832369944,0.19797687861271676,24.846064236977867,17.423864203694457
Middlefield,39.25417075564279,16.558861578266495,27.968596663395484,0.08047105004906771,24.861878453038674,16.574585635359117
Middletown,37.52318765303851,21.192198115275037,25.955331305186615,0.04711731097425243,30.431396451307055,19.653257483407828
Milford,42.47038917089679,20.185482024272957,32.74111675126903,0.10406091370558376,29.942217222335856,21.530476580077725
Monroe,40.682248894504106,19.607322897320245,29.848389134554644,0.15097915350600127,27.50363901018923,18.355167394468705
Montville,38.88174807197944,17.046413502109704,31.008997429305914,0.09093830334190231,26.325039311812045,19.38766071593747
Morris,1.015228426395939,0.43352601156069365,0.5076142131979695,0.0,0.8441193021947102,0.16882386043894204
Naugatuck,28.262610088070456,13.333333333333334,21.489191353082465,0.0654923939151321,19.912719427282536,14.170834559184074
New Britain,27.335892006352566,17.69009668147374,19.752514557967178,0.02871889888830069,20.525604445111878,13.85793662712119
New Canaan,47.65795206971678,28.902843188557473,34.64052287581699,0.28322440087145967,36.10668514028403,23.179771388985106
New Fairfield,43.307408923454766,19.70271979759646,32.78755628325829,0.15800245599672533,27.650168188370976,18.491110043248437
New Hartford,40.11713030746706,16.0996354799514,30.67349926793558,0.13543191800878476,25.279168271082018,17.751251443973818
New Haven,24.078989803765907,16.13995485327314,8.491900071944231,0.003299511275397554,21.16505174889817,7.033558376388637
Newington,39.644377660906585,19.688598694123556,30.190333082895066,0.0642374154770849,29.811796662786186,21.26988746604579
New London,24.499486652977414,15.973597359735974,14.989733059548255,0.01629876796714579,19.836438541474514,11.148004673184529
New Milford,37.72951628825272,17.31687898089172,28.667324777887462,0.1127344521224087,24.87043805575255,16.943974687687525
Newtown,51.74243764372899,25.305535585909418,40.810189280028304,0.1781355032725986,36.36363636363637,26.508609410163814
Norfolk,37.316561844863735,19.747899159663866,30.39832285115304,0.07337526205450734,29.4067067927773,22.527944969905416
North Branford,42.4496644295302,17.24550898203593,34.85738255033557,0.13506711409395974,26.353969989068865,19.72572791414091
North Canaan,0.0,0.0,0.0,0.0,0.0,0.0
North Haven,39.81597657883731,18.185735832794656,29.631953157674612,0.1260978670012547,26.034779709983887,18.21212289571643
North Stonington,36.96248856358646,15.122723673792557,30.009149130832572,0.12168344007319305,22.881546414924703,17.06001348617667
Norwalk,36.97314678022074,22.16607213634562,27.77439819240462,0.06317893456157121,29.28845232390992,20.622561434732013
Norwich,37.97556234379339,18.64722308408315,29.894473757289642,0.057900583171341294,27.13193987549977,20.19332962194443
Old Lyme,58.866736621196225,32.56772673733804,47.37670514165792,0.20094438614900315,44.12894604977451,33.27208952730917
Old Saybrook,49.193548387096776,26.33397312859885,40.43255131964809,0.18951612903225806,35.13305476138113,27.336705520123157
Orange,49.05074214704867,25.29212212589521,37.41801863997239,0.1670693821194339,35.371014765353145,25.43966895513966
Oxford,42.841409691629956,18.143074581430746,33.20484581497797,0.21530837004405287,26.060098419013716,18.312218615851744
Plainfield,25.726141078838175,10.270979020979022,20.228215767634854,0.05359612724757953,16.358492472466406,11.902596746488834
Plainville,33.065976714100906,14.746202297147091,26.183699870633895,0.07322121604139716,22.02922077922078,16.45292207792208
Plymouth,42.813455657492355,17.790594498669034,32.87461773700306,0.14780835881753313,26.709080393290918,18.750722961249277
Pomfret,36.55323819978046,17.421124828532236,26.783754116355652,0.09110867178924259,24.895833333333332,17.36111111111111
Portland,51.54867256637168,24.754299754299755,40.442477876106196,0.1261061946902655,36.449438202247194,26.861423220973784
Preston,36.481700118063756,16.71858774662513,24.675324675324674,0.13931523022432113,24.747320061255742,16.75344563552833
Prospect,37.17128642501777,16.489135066041754,26.865671641791046,0.1712864250177683,22.113273818235037,14.40070247329138
Putnam,30.606407322654462,11.397670549084859,24.14187643020595,0.05491990846681922,19.1267513848159,13.620071684587813
Redding,48.8216810683425,27.155865024102837,38.9630793401414,0.1394344069128044,37.81428571428572,27.714285714285715
Ridgefield,50.3770971217485,26.34324465310381,38.41773126058181,0.15130060027705095,36.73657761140454,25.593559304651045
Rocky Hill,42.86632390745501,23.612622415669204,34.72579263067695,0.10089974293059126,32.57138459170322,24.336181020549528
Roxbury,43.882544861337685,20.833333333333332,35.07340946166395,0.11908646003262642,29.862258953168045,22.203856749311296
Salem,39.97722095671982,19.36813186813187,29.27107061503417,0.1070615034168565,26.960950764006792,18.166383701188455
Salisbury,51.6914749661705,36.09341825902335,40.189445196211096,0.07983761840324763,42.857142857142854,32.09207853757617
Scotland,17.445482866043612,10.561056105610561,13.08411214953271,0.06542056074766354,12.26021684737281,8.590492076730609
Seymour,30.826231937754724,13.959127121579494,23.082623193775472,0.10337161911819193,20.417532917532917,14.457726957726958
Sharon,45.74898785425101,23.14814814814815,36.03238866396761,0.08771929824561403,34.29541595925297,25.63667232597623
Shelton,38.99940617577197,20.145082649542157,29.275534441805224,0.1696852731591449,27.912329155158982,19.45329650874584
Sherman,43.55044699872286,21.132075471698112,31.162196679438058,0.13282247765006386,29.038047379755923,19.526202440775304
Simsbury,51.31272331831599,27.706057596822244,40.329345968618924,0.14043809227901197,38.13448112959949,27.242664427064195
Somers,47.50542299349241,18.006582040432534,36.00867678958785,0.16847433116413593,28.77843564973512,19.445310065440946
Southbury,53.12576611914685,25.70048309178744,43.54008335376318,0.2355969600392253,35.660627485638535,26.95536897923111
Southington,40.74074074074074,18.427819272682747,31.69627307558342,0.12225705329153605,27.612276412302148,19.994209239480117
South Windsor,48.791492104415084,25.88042588042588,38.51111827263938,0.10570415726716081,37.02570025989027,27.063239965347964
Sprague,26.89075630252101,12.780269058295964,22.352941176470587,0.06050420168067227,16.83116883116883,12.0
Stafford,37.52749670039595,13.362782992821645,29.916410030796303,0.07391113066432028,23.253614376435618,17.267936765301986
Stamford,41.172855479363434,27.128053293856404,29.182300426963383,0.07397464096260836,33.54510800508259,22.028664726537414
Sterling,29.102844638949673,9.647779479326188,20.568927789934353,0.08533916849015317,13.341022683583237,8.919646289888504
Stonington,46.51578320428827,23.859649122807017,37.6613063331348,0.09291244788564622,33.9445717857887,25.7136903521567
Stratford,31.573221150359036,19.139043047847608,23.761514470153042,0.06281279466163778,24.95656589955363,17.80397188143159
Suffield,45.03613541270445,20.840755254720342,36.09737542791936,0.15367059718524154,31.39027114857317,23.174570935310246
Thomaston,37.78761061946903,17.792932424054555,26.460176991150444,0.14601769911504425,23.95056885052962,14.8685759121224
Thompson,26.393831553973904,11.463250168577208,20.877817319098458,0.07651245551601424,16.478385298990812,12.21569513480946
Tolland,47.652582159624416,21.11280487804878,38.12877263581489,0.12743125419181758,32.6316765578635,23.6183234421365
Torrington,35.89334184895417,16.882886084947575,27.510777582628133,0.10442280057480441,23.618044424089764,16.885733913441722
Trumbull,41.73076923076923,23.482691443129028,26.82051282051282,0.11294871794871796,30.175012868593278,17.596882123685564
Union,32.88590604026846,17.903930131004365,24.161073825503355,0.18120805369127516,20.180722891566266,12.349397590361447
Vernon,42.918454935622314,20.264937993235627,33.856058104985145,0.08270056124133378,31.08307389808291,22.792069474029166
Voluntown,30.162412993039442,10.093457943925234,22.041763341067284,0.07424593967517401,17.249283667621775,11.289398280802292
Wallingford,44.37354276598356,19.56661316211878,34.02871517977666,0.10332556141857897,30.924895210609495,22.019514876657734
Warren,34.11371237458194,15.819209039548022,23.745819397993312,0.10367892976588629,21.187214611872147,12.968036529680365
Washington,36.65987780040733,21.802325581395348,25.763747454175153,0.10386965376782077,29.204204204204203,19.294294294294293
Waterbury,22.502633242047608,15.496434448710916,15.534021487255108,0.032567937644828314,17.560675661012045,11.641407747676059
Waterford,44.49978345604158,21.951219512195124,36.184495452576876,0.09917713295799047,32.299723266870075,24.529908465195486
Watertown,33.812738479600824,14.359084100149797,25.388905195186382,0.12738479600821837,20.633652822151223,13.73136315228967
Westbrook,48.26546003016591,22.950819672131146,36.50075414781297,0.17194570135746606,33.313119062057815,23.73155447746109
West Hartford,54.59517531008888,33.265465935787,42.31370251001074,0.06778005664615686,45.40834585927994,33.03032472025386
West Haven,27.968640448722034,15.830985915492958,20.625916247052075,0.024794441965708458,23.749401218093478,16.83432560049271
Weston,49.50051670685498,31.68376584188292,36.617292456079916,0.11953151911815363,40.36144578313253,28.340026773761714
Westport,58.447168709865736,35.02029123895918,43.03561004086398,0.10788091068301225,46.90059060002978,31.9767730408457
Wethersfield,43.57354127453617,22.25110475695347,34.84807744017209,0.08295240656090347,33.107535986452156,24.85182049110923
Willington,44.49378330373002,20.594965675057207,35.07992895204263,0.08792184724689166,29.270976616231085,19.779917469050893
Wilton,51.462796590647315,30.357615894039736,39.34577286339553,0.16263533747984335,39.50188679245283,27.08679245283019
Winchester,37.19723183391003,16.502033701336433,29.06574394463668,0.1182237600922722,24.358578052550232,17.94435857805255
Windham,29.578969865355845,17.258261933904528,22.24834366317589,0.04317161786706561,22.050978067575578,15.691421796934542
Windsor,37.392442947998504,23.333333333333332,29.83539094650206,0.04601571268237935,30.66636029411765,23.276654411764707
Windsor Locks,36.849925705794945,17.203682393555813,28.7518573551263,0.07949479940564635,24.994240958304538,18.071872840359365
Wolcott,26.521280337671474,12.70949720670391,18.64227928244812,0.10552233556102708,17.285828662930346,11.601281024819857
Woodbridge,55.35307517084282,26.063418406805877,43.69779802581625,0.08997722095671981,41.9622641509434,30.656603773584905
Woodbury,43.76155268022181,19.619771863117872,35.67467652495379,0.16081330868761554,28.271666252793644,20.784703253041968
Woodstock,45.024875621890544,20.078519349411106,34.07960199004975,0.14054726368159204,29.48247078464107,20.01669449081803
