id,publication,state,code,col,row
152,NPR,Alaska,AK,2,1
153,NPR,Hawaii,HI,2,8
154,NPR,Washington,WA,3,3
155,NPR,Oregon,OR,3,4
156,NPR,California,CA,3,5
157,NPR,Idaho,ID,4,3
158,NPR,Nevada,NV,4,4
159,NPR,Utah,UT,4,5
160,NPR,Arizona,AZ,4,6
161,NPR,Montana,MT,5,3
162,NPR,Wyoming,WY,5,4
163,NPR,Colorado,CO,5,5
164,NPR,New Mexico,NM,5,6
165,NPR,North Dakota,ND,6,3
166,NPR,South Dakota,SD,6,4
167,NPR,Nebraska,NE,6,5
168,NPR,Kansas,KS,6,6
169,NPR,Oklahoma,OK,6,7
170,NPR,Texas,TX,6,8
171,NPR,Minnesota,MN,7,3
172,NPR,Iowa,IA,7,4
173,NPR,Missouri,MO,7,5
174,NPR,Arkansas,AR,7,6
175,NPR,Louisiana,LA,7,7
176,NPR,Illinois,IL,8,3
177,NPR,Indiana,IN,8,4
178,NPR,Kentucky,KY,8,5
179,NPR,Tennessee,TN,8,6
180,NPR,Mississippi,MS,8,7
181,NPR,Wisconsin,WI,9,3
182,NPR,Ohio,OH,9,4
183,NPR,West Virginia,WV,9,5
184,NPR,North Carolina,NC,9,6
185,NPR,Alabama,AL,9,7
186,NPR,Michigan,MI,10,3
187,NPR,Pennsylvania,PA,10,4
188,NPR,Virginia,VA,10,5
189,NPR,South Carolina,SC,10,6
190,NPR,Georgia,GA,10,7
191,NPR,New York,NY,11,3
192,NPR,New Jersey,NJ,11,4
193,NPR,Maryland,MD,11,5
194,NPR,DC,DC,11,6
195,NPR,Florida,FL,11,8
196,NPR,Vermont,VT,12,2
197,NPR,Rhode Island,RI,12,3
198,NPR,Connecticut,CT,12,4
199,NPR,Delaware,DE,12,5
200,NPR,Maine,ME,13,1
201,NPR,New Hampshire,NH,13,2
202,NPR,Massachusetts,MA,13,3